INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -4 0 1 1 1941
1 0 0 0 -3 0 1 1 1941
1 0 0 0 -2 0 1 1 1941
1 0 0 0 -1 3 4 1 1941
1 0 0 0 0 284 554 270 1941
1 0 0 1 -3 1 1 0 1941
1 0 0 1 -1 4 7 3 1941
1 0 0 1 0 71 143 72 1941
1 0 0 10 -3 0 1 1 1941
1 0 0 10 -1 3 6 3 1941
1 0 0 10 0 18 42 24 1941
1 0 0 11 -2 1 2 1 1941
1 0 0 11 -1 0 1 1 1941
1 0 0 11 0 15 34 19 1941
1 0 0 100 -1 0 1 1 1941
1 0 0 100 0 3 7 4 1941
1 0 0 101 -1 3 5 2 1941
1 0 0 101 0 3 10 7 1941
1 0 0 110 -3 1 1 0 1941
1 0 0 110 -1 1 3 2 1941
1 0 0 110 0 1 3 2 1941
1 0 0 111 -2 0 2 2 1941
1 0 0 111 -1 1 5 4 1941
1 0 0 111 0 3 10 7 1941
1 0 1 0 -4 0 2 2 1941
1 0 1 0 -3 1 1 0 1941
1 0 1 0 -2 1 4 3 1941
1 0 1 0 -1 5 7 2 1941
1 0 1 0 0 195 375 180 1941
1 0 1 1 -4 0 2 2 1941
1 0 1 1 -2 2 8 6 1941
1 0 1 1 -1 7 16 9 1941
1 0 1 1 0 79 153 74 1941
1 0 1 10 -5 0 1 1 1941
1 0 1 10 -4 0 1 1 1941
1 0 1 10 -3 0 1 1 1941
1 0 1 10 -2 1 2 1 1941
1 0 1 10 -1 5 12 7 1941
1 0 1 10 0 31 66 35 1941
1 0 1 11 -4 0 2 2 1941
1 0 1 11 -2 3 7 4 1941
1 0 1 11 -1 6 10 4 1941
1 0 1 11 0 25 46 21 1941
1 0 1 100 -3 0 1 1 1941
1 0 1 100 -2 1 1 0 1941
1 0 1 100 -1 2 7 5 1941
1 0 1 100 0 13 26 13 1941
1 0 1 101 -3 0 1 1 1941
1 0 1 101 -2 0 2 2 1941
1 0 1 101 -1 3 6 3 1941
1 0 1 101 0 7 15 8 1941
1 0 1 110 -3 1 1 0 1941
1 0 1 110 -1 2 7 5 1941
1 0 1 110 0 6 12 6 1941
1 0 1 111 -4 0 1 1 1941
1 0 1 111 -3 1 1 0 1941
1 0 1 111 -2 0 5 5 1941
1 0 1 111 -1 1 7 6 1941
1 0 1 111 0 7 16 9 1941
1 0 2 0 -5 0 2 2 1941
1 0 2 0 -4 0 2 2 1941
1 0 2 0 -3 2 6 4 1941
1 0 2 0 -2 2 9 7 1941
1 0 2 0 -1 10 17 7 1941
1 0 2 0 0 138 258 120 1941
1 0 2 1 -5 0 1 1 1941
1 0 2 1 -4 0 2 2 1941
1 0 2 1 -3 0 1 1 1941
1 0 2 1 -2 4 11 7 1941
1 0 2 1 -1 7 21 14 1941
1 0 2 1 0 68 142 74 1941
1 0 2 10 -5 0 1 1 1941
1 0 2 10 -4 0 1 1 1941
1 0 2 10 -3 0 2 2 1941
1 0 2 10 -2 2 7 5 1941
1 0 2 10 -1 7 19 12 1941
1 0 2 10 0 30 65 35 1941
1 0 2 11 -5 0 1 1 1941
1 0 2 11 -4 0 3 3 1941
1 0 2 11 -3 0 2 2 1941
1 0 2 11 -2 4 14 10 1941
1 0 2 11 -1 9 23 14 1941
1 0 2 11 0 26 48 22 1941
1 0 2 100 -3 1 2 1 1941
1 0 2 100 -2 3 5 2 1941
1 0 2 100 -1 3 8 5 1941
1 0 2 100 0 12 25 13 1941
1 0 2 101 -5 0 1 1 1941
1 0 2 101 -4 1 1 0 1941
1 0 2 101 -3 0 1 1 1941
1 0 2 101 -2 1 5 4 1941
1 0 2 101 -1 3 8 5 1941
1 0 2 101 0 11 21 10 1941
1 0 2 110 -4 0 1 1 1941
1 0 2 110 -3 0 1 1 1941
1 0 2 110 -2 2 5 3 1941
1 0 2 110 -1 2 3 1 1941
1 0 2 110 0 4 11 7 1941
1 0 2 111 -4 1 1 0 1941
1 0 2 111 -3 1 3 2 1941
1 0 2 111 -2 2 5 3 1941
1 0 2 111 -1 3 7 4 1941
1 0 2 111 0 15 25 10 1941
1 1 0 0 -5 0 6 6 1941
1 1 0 0 -4 2 8 6 1941
1 1 0 0 -3 3 12 9 1941
1 1 0 0 -2 15 47 32 1941
1 1 0 0 -1 38 76 38 1941
1 1 0 0 0 226 406 180 1941
1 1 0 0 1 1 2 1 1941
1 1 0 0 2 1 1 0 1941
1 1 0 1 -4 1 4 3 1941
1 1 0 1 -3 1 3 2 1941
1 1 0 1 -2 8 17 9 1941
1 1 0 1 -1 18 27 9 1941
1 1 0 1 0 69 121 52 1941
1 1 0 1 1 3 4 1 1941
1 1 0 10 -5 0 2 2 1941
1 1 0 10 -3 1 2 1 1941
1 1 0 10 -2 3 5 2 1941
1 1 0 10 -1 0 2 2 1941
1 1 0 10 0 16 21 5 1941
1 1 0 10 1 1 1 0 1941
1 1 0 11 -4 1 1 0 1941
1 1 0 11 -3 1 1 0 1941
1 1 0 11 -2 3 6 3 1941
1 1 0 11 -1 4 7 3 1941
1 1 0 11 0 22 32 10 1941
1 1 0 11 1 4 6 2 1941
1 1 0 11 2 2 3 1 1941
1 1 0 100 -2 1 2 1 1941
1 1 0 100 0 3 3 0 1941
1 1 0 100 1 2 2 0 1941
1 1 0 101 -2 1 3 2 1941
1 1 0 101 -1 1 1 0 1941
1 1 0 101 0 4 7 3 1941
1 1 0 101 1 4 6 2 1941
1 1 0 101 3 1 1 0 1941
1 1 0 110 -1 0 2 2 1941
1 1 0 110 0 2 3 1 1941
1 1 0 110 1 1 1 0 1941
1 1 0 110 2 2 3 1 1941
1 1 0 111 -4 1 1 0 1941
1 1 0 111 -3 2 2 0 1941
1 1 0 111 -2 1 2 1 1941
1 1 0 111 -1 1 2 1 1941
1 1 0 111 0 4 4 0 1941
1 1 0 111 1 2 2 0 1941
1 1 0 111 2 2 2 0 1941
1 1 1 0 -5 0 4 4 1941
1 1 1 0 -4 1 4 3 1941
1 1 1 0 -3 1 7 6 1941
1 1 1 0 -2 5 25 20 1941
1 1 1 0 -1 23 51 28 1941
1 1 1 0 0 143 269 126 1941
1 1 1 0 1 6 10 4 1941
1 1 1 0 2 7 9 2 1941
1 1 1 0 3 3 4 1 1941
1 1 1 0 4 2 2 0 1941
1 1 1 1 -5 0 2 2 1941
1 1 1 1 -4 0 4 4 1941
1 1 1 1 -3 0 5 5 1941
1 1 1 1 -2 1 8 7 1941
1 1 1 1 -1 24 37 13 1941
