INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
4 0 2 11 11 1 1 0 1943
4 0 2 100 -9 0 1 1 1943
4 0 2 100 -6 0 1 1 1943
4 0 2 100 -4 0 4 4 1943
4 0 2 100 -3 0 3 3 1943
4 0 2 100 -2 1 2 1 1943
4 0 2 100 -1 1 1 0 1943
4 0 2 100 0 5 5 0 1943
4 0 2 100 1 1 1 0 1943
4 0 2 100 2 1 1 0 1943
4 0 2 100 8 1 1 0 1943
4 0 2 101 -8 0 1 1 1943
4 0 2 101 -4 0 1 1 1943
4 0 2 101 -3 0 1 1 1943
4 0 2 101 -2 1 1 0 1943
4 0 2 101 -1 3 3 0 1943
4 0 2 101 0 3 7 4 1943
4 0 2 101 1 0 1 1 1943
4 0 2 101 2 1 2 1 1943
4 0 2 110 -8 0 1 1 1943
4 0 2 110 -5 0 2 2 1943
4 0 2 110 -3 0 2 2 1943
4 0 2 110 -2 1 2 1 1943
4 0 2 110 -1 2 3 1 1943
4 0 2 110 0 3 4 1 1943
4 0 2 110 2 1 1 0 1943
4 0 2 110 10 1 1 0 1943
4 0 2 111 -6 0 1 1 1943
4 0 2 111 -5 0 1 1 1943
4 0 2 111 -2 1 2 1 1943
4 0 2 111 -1 4 6 2 1943
4 0 2 111 0 2 3 1 1943
4 0 2 111 1 1 2 1 1943
4 0 2 111 2 1 2 1 1943
4 0 2 111 3 1 1 0 1943
4 0 2 111 6 1 1 0 1943
4 0 2 111 7 1 1 0 1943
4 1 0 0 -9 0 2 2 1943
4 1 0 0 -8 0 4 4 1943
4 1 0 0 -7 0 3 3 1943
4 1 0 0 -6 0 6 6 1943
4 1 0 0 -5 0 11 11 1943
4 1 0 0 -4 2 21 19 1943
4 1 0 0 -3 5 28 23 1943
4 1 0 0 -2 15 41 26 1943
4 1 0 0 -1 32 68 36 1943
4 1 0 0 0 62 109 47 1943
4 1 0 0 1 32 52 20 1943
4 1 0 0 2 24 31 7 1943
4 1 0 0 3 12 13 1 1943
4 1 0 0 4 18 20 2 1943
4 1 0 0 5 6 6 0 1943
4 1 0 0 6 4 4 0 1943
4 1 0 0 7 2 2 0 1943
4 1 0 0 8 2 2 0 1943
4 1 0 0 13 1 1 0 1943
4 1 0 1 -9 0 2 2 1943
4 1 0 1 -8 0 3 3 1943
4 1 0 1 -7 0 1 1 1943
4 1 0 1 -6 0 2 2 1943
4 1 0 1 -5 0 4 4 1943
4 1 0 1 -4 1 9 8 1943
4 1 0 1 -3 1 7 6 1943
4 1 0 1 -2 4 10 6 1943
4 1 0 1 -1 8 15 7 1943
4 1 0 1 0 25 34 9 1943
4 1 0 1 1 8 14 6 1943
4 1 0 1 2 4 6 2 1943
4 1 0 1 3 5 5 0 1943
4 1 0 1 4 6 7 1 1943
4 1 0 1 5 2 2 0 1943
4 1 0 1 6 3 3 0 1943
4 1 0 1 7 1 1 0 1943
4 1 0 1 8 1 1 0 1943
4 1 0 10 -4 1 2 1 1943
4 1 0 10 -3 1 1 0 1943
4 1 0 10 -2 0 7 7 1943
4 1 0 10 -1 3 5 2 1943
4 1 0 10 0 4 6 2 1943
4 1 0 10 1 4 4 0 1943
4 1 0 10 2 1 2 1 1943
4 1 0 10 6 1 1 0 1943
4 1 0 11 -8 0 2 2 1943
4 1 0 11 -6 0 1 1 1943
4 1 0 11 -3 0 1 1 1943
4 1 0 11 -2 3 6 3 1943
4 1 0 11 -1 2 3 1 1943
4 1 0 11 0 5 5 0 1943
4 1 0 11 1 2 2 0 1943
4 1 0 11 3 1 1 0 1943
4 1 0 11 4 1 1 0 1943
4 1 0 11 5 1 1 0 1943
4 1 0 11 6 1 1 0 1943
4 1 0 100 -5 0 1 1 1943
4 1 0 100 -1 1 1 0 1943
4 1 0 100 0 2 2 0 1943
4 1 0 100 1 2 2 0 1943
4 1 0 100 2 1 1 0 1943
4 1 0 100 5 1 1 0 1943
4 1 0 101 -4 1 1 0 1943
4 1 0 101 -2 0 1 1 1943
4 1 0 101 -1 2 4 2 1943
4 1 0 101 0 1 2 1 1943
4 1 0 101 1 1 2 1 1943
4 1 0 101 2 1 1 0 1943
4 1 0 101 6 1 1 0 1943
4 1 0 110 -9 0 1 1 1943
4 1 0 110 -7 0 1 1 1943
4 1 0 110 0 1 2 1 1943
4 1 0 110 1 2 2 0 1943
4 1 0 110 2 0 1 1 1943
4 1 0 111 -2 0 3 3 1943
4 1 0 111 0 1 2 1 1943
4 1 0 111 1 1 1 0 1943
4 1 1 0 -8 0 1 1 1943
4 1 1 0 -7 0 2 2 1943
4 1 1 0 -6 0 4 4 1943
4 1 1 0 -5 0 6 6 1943
4 1 1 0 -4 0 11 11 1943
4 1 1 0 -3 3 20 17 1943
4 1 1 0 -2 11 25 14 1943
4 1 1 0 -1 21 49 28 1943
4 1 1 0 0 36 75 39 1943
4 1 1 0 1 21 36 15 1943
4 1 1 0 2 20 24 4 1943
4 1 1 0 3 7 8 1 1943
4 1 1 0 4 12 13 1 1943
4 1 1 0 5 3 3 0 1943
4 1 1 0 6 1 1 0 1943
4 1 1 0 7 3 3 0 1943
4 1 1 0 8 1 1 0 1943
4 1 1 0 10 1 1 0 1943
4 1 1 0 11 1 1 0 1943
4 1 1 0 13 1 1 0 1943
4 1 1 1 -9 0 1 1 1943
4 1 1 1 -8 0 1 1 1943
4 1 1 1 -7 0 1 1 1943
4 1 1 1 -6 0 2 2 1943
4 1 1 1 -5 0 3 3 1943
4 1 1 1 -4 0 9 9 1943
4 1 1 1 -3 3 12 9 1943
4 1 1 1 -2 6 12 6 1943
4 1 1 1 -1 9 23 14 1943
4 1 1 1 0 22 34 12 1943
4 1 1 1 1 11 14 3 1943
4 1 1 1 2 7 9 2 1943
4 1 1 1 3 5 6 1 1943
4 1 1 1 4 8 9 1 1943
4 1 1 1 5 2 2 0 1943
4 1 1 1 6 1 1 0 1943
4 1 1 1 7 2 2 0 1943
4 1 1 1 8 1 1 0 1943
4 1 1 1 10 1 1 0 1943
4 1 1 10 -8 0 1 1 1943
4 1 1 10 -4 1 3 2 1943
4 1 1 10 -2 2 8 6 1943
4 1 1 10 -1 5 7 2 1943
4 1 1 10 0 7 14 7 1943
4 1 1 10 1 8 14 6 1943
4 1 1 10 2 2 5 3 1943
4 1 1 10 3 2 2 0 1943
4 1 1 10 4 2 2 0 1943
4 1 1 10 7 1 1 0 1943
4 1 1 10 8 1 1 0 1943
4 1 1 10 9 1 1 0 1943
4 1 1 11 -8 0 1 1 1943
4 1 1 11 -6 0 1 1 1943
4 1 1 11 -5 0 1 1 1943
4 1 1 11 -4 0 1 1 1943
4 1 1 11 -3 0 2 2 1943
4 1 1 11 -2 2 5 3 1943
4 1 1 11 -1 5 10 5 1943
4 1 1 11 0 8 12 4 1943
4 1 1 11 1 3 4 1 1943
4 1 1 11 2 4 5 1 1943
4 1 1 11 3 4 4 0 1943
4 1 1 11 4 1 1 0 1943
4 1 1 11 5 3 3 0 1943
4 1 1 11 6 1 1 0 1943
4 1 1 11 7 1 1 0 1943
4 1 1 11 8 3 3 0 1943
4 1 1 11 9 1 1 0 1943
4 1 1 11 12 1 1 0 1943
4 1 1 11 13 1 1 0 1943
4 1 1 100 -4 0 1 1 1943
4 1 1 100 -3 1 1 0 1943
4 1 1 100 -1 0 3 3 1943
4 1 1 100 0 4 5 1 1943
4 1 1 100 1 2 3 1 1943
4 1 1 100 2 2 2 0 1943
4 1 1 100 3 1 1 0 1943
4 1 1 100 4 1 1 0 1943
4 1 1 100 5 2 2 0 1943
4 1 1 101 -4 0 1 1 1943
4 1 1 101 -2 1 2 1 1943
4 1 1 101 -1 2 3 1 1943
4 1 1 101 0 3 5 2 1943
4 1 1 101 1 1 1 0 1943
4 1 1 101 2 1 1 0 1943
4 1 1 101 3 1 1 0 1943
4 1 1 101 4 2 2 0 1943
4 1 1 110 -7 0 1 1 1943
4 1 1 110 -3 1 1 0 1943
4 1 1 110 -2 2 2 0 1943
4 1 1 110 -1 1 4 3 1943
4 1 1 110 0 1 2 1 1943
4 1 1 110 1 4 5 1 1943
4 1 1 110 2 0 1 1 1943
4 1 1 110 4 2 2 0 1943
4 1 1 110 7 1 1 0 1943
4 1 1 110 10 1 1 0 1943
4 1 1 110 15 1 1 0 1943
4 1 1 111 -2 3 4 1 1943
4 1 1 111 -1 1 3 2 1943
4 1 1 111 0 2 6 4 1943
4 1 1 111 1 7 7 0 1943
4 1 1 111 2 2 2 0 1943
4 1 1 111 3 1 1 0 1943
4 1 1 111 4 1 1 0 1943
4 1 1 111 5 1 1 0 1943
4 1 1 111 6 1 1 0 1943
4 1 1 111 8 2 2 0 1943
4 1 1 111 9 2 2 0 1943
4 1 1 111 10 3 3 0 1943
4 1 1 111 13 1 1 0 1943
4 1 2 0 -8 0 1 1 1943
4 1 2 0 -7 0 1 1 1943
4 1 2 0 -6 0 3 3 1943
4 1 2 0 -5 0 7 7 1943
4 1 2 0 -4 0 9 9 1943
4 1 2 0 -3 2 16 14 1943
4 1 2 0 -2 6 19 13 1943
4 1 2 0 -1 12 30 18 1943
4 1 2 0 0 26 55 29 1943
4 1 2 0 1 16 29 13 1943
4 1 2 0 2 19 22 3 1943
4 1 2 0 3 5 6 1 1943
4 1 2 0 4 8 9 1 1943
4 1 2 0 5 3 3 0 1943
4 1 2 0 6 2 2 0 1943
4 1 2 0 7 2 2 0 1943
4 1 2 0 8 1 1 0 1943
4 1 2 0 10 2 2 0 1943
4 1 2 0 11 1 1 0 1943
4 1 2 0 13 1 1 0 1943
4 1 2 0 18 1 1 0 1943
4 1 2 1 -9 0 1 1 1943
4 1 2 1 -8 0 2 2 1943
4 1 2 1 -7 0 2 2 1943
4 1 2 1 -5 0 5 5 1943
4 1 2 1 -4 0 10 10 1943
4 1 2 1 -3 1 10 9 1943
4 1 2 1 -2 6 13 7 1943
4 1 2 1 -1 7 19 12 1943
4 1 2 1 0 17 29 12 1943
4 1 2 1 1 12 23 11 1943
4 1 2 1 2 5 8 3 1943
4 1 2 1 3 4 4 0 1943
4 1 2 1 4 5 6 1 1943
4 1 2 1 5 4 4 0 1943
4 1 2 1 6 1 1 0 1943
4 1 2 1 10 2 2 0 1943
4 1 2 1 18 1 1 0 1943
4 1 2 10 -8 0 1 1 1943
4 1 2 10 -6 0 1 1 1943
4 1 2 10 -4 0 1 1 1943
4 1 2 10 -3 2 5 3 1943
4 1 2 10 -2 3 7 4 1943
4 1 2 10 -1 5 10 5 1943
4 1 2 10 0 12 17 5 1943
4 1 2 10 1 11 16 5 1943
4 1 2 10 2 7 11 4 1943
4 1 2 10 3 2 2 0 1943
4 1 2 10 4 3 3 0 1943
4 1 2 10 5 0 1 1 1943
4 1 2 10 8 1 1 0 1943
4 1 2 10 11 1 1 0 1943
4 1 2 10 12 1 1 0 1943
4 1 2 10 16 1 1 0 1943
4 1 2 11 -8 0 3 3 1943
4 1 2 11 -7 0 1 1 1943
4 1 2 11 -6 0 2 2 1943
4 1 2 11 -5 0 2 2 1943
4 1 2 11 -4 0 3 3 1943
4 1 2 11 -3 1 3 2 1943
4 1 2 11 -2 1 4 3 1943
4 1 2 11 -1 5 13 8 1943
4 1 2 11 0 9 13 4 1943
4 1 2 11 1 6 9 3 1943
4 1 2 11 2 4 7 3 1943
4 1 2 11 3 2 3 1 1943
4 1 2 11 4 2 2 0 1943
4 1 2 11 5 4 4 0 1943
4 1 2 11 6 1 1 0 1943
4 1 2 100 -8 0 1 1 1943
4 1 2 100 -4 1 1 0 1943
4 1 2 100 -1 1 2 1 1943
4 1 2 100 0 2 7 5 1943
4 1 2 100 1 2 4 2 1943
4 1 2 100 2 0 1 1 1943
4 1 2 100 7 1 1 0 1943
4 1 2 101 -7 0 1 1 1943
4 1 2 101 -4 0 1 1 1943
4 1 2 101 -3 0 1 1 1943
4 1 2 101 -2 0 1 1 1943
4 1 2 101 -1 3 4 1 1943
4 1 2 101 0 2 6 4 1943
4 1 2 101 1 2 5 3 1943
4 1 2 101 2 0 1 1 1943
4 1 2 101 3 1 1 0 1943
4 1 2 101 4 2 2 0 1943
4 1 2 101 5 1 1 0 1943
4 1 2 110 -8 0 1 1 1943
4 1 2 110 -7 0 1 1 1943
4 1 2 110 -3 0 1 1 1943
4 1 2 110 -2 1 1 0 1943
4 1 2 110 -1 1 2 1 1943
4 1 2 110 0 1 2 1 1943
4 1 2 110 1 1 1 0 1943
4 1 2 110 2 1 2 1 1943
4 1 2 110 3 2 2 0 1943
4 1 2 110 4 1 1 0 1943
4 1 2 111 -8 0 2 2 1943
4 1 2 111 -5 0 1 1 1943
4 1 2 111 -3 0 1 1 1943
4 1 2 111 -2 1 1 0 1943
4 1 2 111 -1 2 5 3 1943
4 1 2 111 0 3 5 2 1943
4 1 2 111 1 5 5 0 1943
4 1 2 111 2 1 1 0 1943
4 1 2 111 3 0 1 1 1943
4 1 2 111 4 1 1 0 1943
4 1 2 111 5 1 1 0 1943
4 1 2 111 10 1 1 0 1943
5 0 0 0 -9 0 1 1 1943
5 0 0 0 -8 0 3 3 1943
5 0 0 0 -7 0 4 4 1943
5 0 0 0 -6 0 6 6 1943
5 0 0 0 -5 0 11 11 1943
5 0 0 0 -4 0 18 18 1943
5 0 0 0 -3 5 25 20 1943
5 0 0 0 -2 11 36 25 1943
5 0 0 0 -1 23 57 34 1943
5 0 0 0 0 47 92 45 1943
5 0 0 0 1 40 67 27 1943
5 0 0 0 2 33 44 11 1943
5 0 0 0 3 15 18 3 1943
5 0 0 0 4 16 17 1 1943
5 0 0 0 5 7 8 1 1943
5 0 0 0 6 5 5 0 1943
5 0 0 0 7 3 3 0 1943
5 0 0 0 8 1 1 0 1943
5 0 0 0 10 2 2 0 1943
5 0 0 0 11 2 2 0 1943
5 0 0 0 12 1 1 0 1943
5 0 0 0 13 1 1 0 1943
5 0 0 0 18 1 1 0 1943
5 0 0 1 -9 0 1 1 1943
5 0 0 1 -8 0 1 1 1943
5 0 0 1 -5 0 3 3 1943
5 0 0 1 -4 0 6 6 1943
5 0 0 1 -3 2 6 4 1943
5 0 0 1 -2 2 9 7 1943
5 0 0 1 -1 4 15 11 1943
5 0 0 1 0 11 28 17 1943
5 0 0 1 1 9 17 8 1943
5 0 0 1 2 7 9 2 1943
5 0 0 1 3 1 2 1 1943
5 0 0 1 4 4 5 1 1943
5 0 0 1 5 3 4 1 1943
5 0 0 1 6 2 2 0 1943
5 0 0 1 8 1 1 0 1943
5 0 0 1 11 1 1 0 1943
5 0 0 10 -5 0 1 1 1943
5 0 0 10 -4 0 1 1 1943
5 0 0 10 -3 0 1 1 1943
5 0 0 10 -2 1 5 4 1943
5 0 0 10 -1 0 4 4 1943
5 0 0 10 0 1 5 4 1943
5 0 0 10 1 1 4 3 1943
5 0 0 10 2 2 3 1 1943
5 0 0 10 4 1 2 1 1943
5 0 0 10 6 1 1 0 1943
5 0 0 10 7 1 1 0 1943
5 0 0 10 18 1 1 0 1943
5 0 0 11 -4 0 1 1 1943
5 0 0 11 -3 0 3 3 1943
5 0 0 11 -2 1 4 3 1943
5 0 0 11 -1 0 2 2 1943
5 0 0 11 0 1 2 1 1943
5 0 0 11 1 1 2 1 1943
5 0 0 11 2 2 4 2 1943
5 0 0 11 3 1 3 2 1943
5 0 0 11 4 1 2 1 1943
5 0 0 11 5 1 2 1 1943
5 0 0 11 6 1 1 0 1943
5 0 0 11 8 1 1 0 1943
5 0 0 100 -4 0 1 1 1943
5 0 0 100 -3 0 1 1 1943
5 0 0 100 -1 0 2 2 1943
5 0 0 100 0 0 2 2 1943
5 0 0 100 1 0 1 1 1943
5 0 0 100 6 1 1 0 1943
5 0 0 101 -4 1 1 0 1943
5 0 0 101 -3 1 1 0 1943
5 0 0 101 -2 1 1 0 1943
5 0 0 101 -1 0 2 2 1943
5 0 0 101 0 0 1 1 1943
5 0 0 101 1 1 3 2 1943
5 0 0 110 -5 1 1 0 1943
5 0 0 110 -4 0 1 1 1943
5 0 0 110 -1 0 1 1 1943
5 0 0 110 0 0 1 1 1943
5 0 0 110 1 1 2 1 1943
5 0 0 111 0 0 3 3 1943
5 0 0 111 1 0 2 2 1943
5 0 0 111 4 1 1 0 1943
5 0 1 0 -8 0 2 2 1943
5 0 1 0 -7 0 5 5 1943
5 0 1 0 -6 0 8 8 1943
5 0 1 0 -5 0 8 8 1943
5 0 1 0 -4 0 9 9 1943
5 0 1 0 -3 3 18 15 1943
5 0 1 0 -2 8 25 17 1943
5 0 1 0 -1 20 40 20 1943
5 0 1 0 0 37 61 24 1943
5 0 1 0 1 31 46 15 1943
5 0 1 0 2 25 33 8 1943
5 0 1 0 3 14 16 2 1943
5 0 1 0 4 11 11 0 1943
5 0 1 0 5 5 5 0 1943
5 0 1 0 6 2 2 0 1943
5 0 1 0 7 2 2 0 1943
5 0 1 0 10 2 2 0 1943
5 0 1 0 11 1 1 0 1943
5 0 1 0 12 1 1 0 1943
5 0 1 0 13 1 1 0 1943
5 0 1 1 -9 0 1 1 1943
5 0 1 1 -8 0 1 1 1943
5 0 1 1 -7 0 2 2 1943
5 0 1 1 -6 0 5 5 1943
5 0 1 1 -5 0 2 2 1943
5 0 1 1 -4 0 5 5 1943
5 0 1 1 -3 4 8 4 1943
5 0 1 1 -2 2 10 8 1943
5 0 1 1 -1 7 15 8 1943
5 0 1 1 0 13 28 15 1943
5 0 1 1 1 14 22 8 1943
5 0 1 1 2 8 10 2 1943
5 0 1 1 3 3 3 0 1943
5 0 1 1 4 4 4 0 1943
5 0 1 1 5 3 3 0 1943
5 0 1 1 6 1 1 0 1943
5 0 1 1 13 1 1 0 1943
5 0 1 10 -8 0 1 1 1943
5 0 1 10 -7 0 1 1 1943
5 0 1 10 -6 0 1 1 1943
5 0 1 10 -5 0 4 4 1943
5 0 1 10 -4 0 3 3 1943
5 0 1 10 -3 0 1 1 1943
5 0 1 10 -2 4 12 8 1943
5 0 1 10 -1 3 8 5 1943
5 0 1 10 0 6 11 5 1943
5 0 1 10 1 4 8 4 1943
5 0 1 10 2 2 4 2 1943
5 0 1 10 4 2 2 0 1943
5 0 1 10 5 2 2 0 1943
5 0 1 10 6 2 2 0 1943
5 0 1 10 18 1 1 0 1943
5 0 1 11 -6 0 2 2 1943
5 0 1 11 -5 0 1 1 1943
5 0 1 11 -4 1 3 2 1943
5 0 1 11 -3 2 5 3 1943
5 0 1 11 -2 1 3 2 1943
5 0 1 11 -1 2 4 2 1943
5 0 1 11 0 4 9 5 1943
5 0 1 11 1 3 6 3 1943
5 0 1 11 2 2 2 0 1943
5 0 1 11 3 1 1 0 1943
5 0 1 11 4 1 1 0 1943
5 0 1 11 5 1 1 0 1943
5 0 1 100 -6 1 1 0 1943
5 0 1 100 -4 0 2 2 1943
5 0 1 100 -3 0 3 3 1943
5 0 1 100 -2 1 2 1 1943
5 0 1 100 -1 1 8 7 1943
5 0 1 100 0 1 4 3 1943
5 0 1 100 1 1 4 3 1943
5 0 1 100 2 0 1 1 1943
5 0 1 101 -6 0 2 2 1943
5 0 1 101 -5 0 3 3 1943
5 0 1 101 -3 1 1 0 1943
5 0 1 101 -2 0 1 1 1943
5 0 1 101 -1 1 6 5 1943
5 0 1 101 0 1 5 4 1943
5 0 1 101 2 0 1 1 1943
5 0 1 101 3 1 1 0 1943
5 0 1 110 -4 0 1 1 1943
5 0 1 110 -3 0 3 3 1943
5 0 1 110 -2 1 4 3 1943
5 0 1 110 -1 0 3 3 1943
5 0 1 110 1 1 2 1 1943
5 0 1 110 2 1 1 0 1943
5 0 1 111 -3 0 1 1 1943
5 0 1 111 -2 1 1 0 1943
5 0 1 111 -1 1 3 2 1943
5 0 1 111 0 1 3 2 1943
5 0 1 111 1 1 1 0 1943
5 0 1 111 3 1 1 0 1943
5 0 2 0 -8 0 2 2 1943
5 0 2 0 -7 0 3 3 1943
5 0 2 0 -6 0 4 4 1943
5 0 2 0 -5 0 7 7 1943
5 0 2 0 -4 0 8 8 1943
5 0 2 0 -3 3 15 12 1943
5 0 2 0 -2 4 20 16 1943
5 0 2 0 -1 16 29 13 1943
5 0 2 0 0 33 56 23 1943
5 0 2 0 1 21 32 11 1943
5 0 2 0 2 20 27 7 1943
5 0 2 0 3 11 13 2 1943
5 0 2 0 4 10 10 0 1943
5 0 2 0 5 3 3 0 1943
5 0 2 0 6 1 1 0 1943
5 0 2 0 7 2 2 0 1943
5 0 2 0 10 2 2 0 1943
5 0 2 0 11 2 2 0 1943
5 0 2 0 12 1 1 0 1943
5 0 2 1 -11 0 1 1 1943
5 0 2 1 -9 0 1 1 1943
5 0 2 1 -8 0 1 1 1943
5 0 2 1 -7 0 4 4 1943
5 0 2 1 -6 0 6 6 1943
5 0 2 1 -5 0 6 6 1943
5 0 2 1 -4 2 6 4 1943
5 0 2 1 -3 2 10 8 1943
5 0 2 1 -2 1 13 12 1943
5 0 2 1 -1 5 15 10 1943
5 0 2 1 0 11 26 15 1943
5 0 2 1 1 9 13 4 1943
5 0 2 1 2 8 9 1 1943
5 0 2 1 3 7 8 1 1943
5 0 2 1 4 6 6 0 1943
5 0 2 1 5 3 3 0 1943
5 0 2 1 6 1 1 0 1943
5 0 2 1 7 1 1 0 1943
5 0 2 1 10 1 1 0 1943
5 0 2 1 11 1 1 0 1943
5 0 2 1 12 1 1 0 1943
5 0 2 10 -10 0 1 1 1943
5 0 2 10 -8 0 1 1 1943
5 0 2 10 -7 0 3 3 1943
5 0 2 10 -6 0 1 1 1943
5 0 2 10 -5 0 4 4 1943
5 0 2 10 -4 0 4 4 1943
5 0 2 10 -3 1 8 7 1943
5 0 2 10 -2 2 9 7 1943
5 0 2 10 -1 4 9 5 1943
5 0 2 10 0 4 12 8 1943
5 0 2 10 1 6 13 7 1943
5 0 2 10 2 5 6 1 1943
5 0 2 10 3 1 1 0 1943
5 0 2 10 4 2 2 0 1943
5 0 2 10 5 1 1 0 1943
5 0 2 10 6 2 2 0 1943
5 0 2 10 13 1 1 0 1943
5 0 2 10 18 1 1 0 1943
5 0 2 11 -8 0 3 3 1943
5 0 2 11 -7 0 1 1 1943
5 0 2 11 -6 0 1 1 1943
5 0 2 11 -5 0 4 4 1943
5 0 2 11 -4 2 5 3 1943
5 0 2 11 -3 1 2 1 1943
5 0 2 11 -2 0 3 3 1943
5 0 2 11 -1 4 10 6 1943
5 0 2 11 0 3 10 7 1943
5 0 2 11 1 5 9 4 1943
5 0 2 11 2 4 4 0 1943
5 0 2 11 3 3 3 0 1943
5 0 2 11 4 2 2 0 1943
5 0 2 11 5 1 1 0 1943
5 0 2 100 -8 0 1 1 1943
5 0 2 100 -6 1 1 0 1943
5 0 2 100 -5 0 2 2 1943
5 0 2 100 -4 0 2 2 1943
5 0 2 100 -3 0 3 3 1943
5 0 2 100 -2 3 8 5 1943
5 0 2 100 -1 4 9 5 1943
5 0 2 100 0 2 4 2 1943
5 0 2 100 1 1 1 0 1943
5 0 2 100 2 0 1 1 1943
5 0 2 100 5 2 3 1 1943
5 0 2 100 8 1 1 0 1943
5 0 2 101 -7 0 1 1 1943
5 0 2 101 -5 0 1 1 1943
5 0 2 101 -4 0 2 2 1943
5 0 2 101 -2 0 1 1 1943
5 0 2 101 0 4 5 1 1943
5 0 2 101 1 1 1 0 1943
5 0 2 101 8 1 1 0 1943
5 0 2 101 10 1 1 0 1943
5 0 2 110 -9 0 1 1 1943
5 0 2 110 -6 0 1 1 1943
5 0 2 110 -5 0 1 1 1943
5 0 2 110 -3 0 2 2 1943
5 0 2 110 -2 0 2 2 1943
5 0 2 110 -1 0 1 1 1943
5 0 2 110 0 2 3 1 1943
5 0 2 110 1 0 1 1 1943
5 0 2 110 2 1 1 0 1943
5 0 2 111 -6 0 1 1 1943
5 0 2 111 -3 1 2 1 1943
5 0 2 111 -2 0 1 1 1943
5 0 2 111 -1 0 1 1 1943
5 0 2 111 0 0 2 2 1943
5 0 2 111 1 0 1 1 1943
5 0 2 111 2 1 1 0 1943
5 0 2 111 3 1 1 0 1943
5 1 0 0 -11 0 1 1 1943
5 1 0 0 -9 0 1 1 1943
5 1 0 0 -8 0 5 5 1943
5 1 0 0 -7 0 7 7 1943
5 1 0 0 -6 1 9 8 1943
5 1 0 0 -5 0 16 16 1943
5 1 0 0 -4 3 18 15 1943
5 1 0 0 -3 7 30 23 1943
5 1 0 0 -2 8 41 33 1943
5 1 0 0 -1 28 58 30 1943
5 1 0 0 0 49 88 39 1943
5 1 0 0 1 37 59 22 1943
5 1 0 0 2 30 36 6 1943
5 1 0 0 3 13 14 1 1943
5 1 0 0 4 16 16 0 1943
5 1 0 0 5 8 9 1 1943
5 1 0 0 6 4 4 0 1943
5 1 0 0 7 2 2 0 1943
5 1 0 0 8 1 1 0 1943
5 1 0 0 10 2 2 0 1943
5 1 0 0 11 2 2 0 1943
5 1 0 0 12 1 1 0 1943
5 1 0 0 13 1 1 0 1943
5 1 0 0 18 1 1 0 1943
5 1 0 1 -8 0 2 2 1943
5 1 0 1 -7 0 1 1 1943
5 1 0 1 -6 0 1 1 1943
5 1 0 1 -5 0 5 5 1943
5 1 0 1 -4 2 5 3 1943
5 1 0 1 -3 2 8 6 1943
5 1 0 1 -2 2 12 10 1943
5 1 0 1 -1 11 20 9 1943
5 1 0 1 0 11 21 10 1943
5 1 0 1 1 9 17 8 1943
5 1 0 1 2 14 16 2 1943
5 1 0 1 3 4 4 0 1943
5 1 0 1 4 3 3 0 1943
5 1 0 1 5 3 3 0 1943
5 1 0 1 6 1 1 0 1943
5 1 0 1 11 1 1 0 1943
5 1 0 1 13 1 1 0 1943
5 1 0 10 -4 0 1 1 1943
5 1 0 10 -3 1 2 1 1943
5 1 0 10 -2 0 1 1 1943
5 1 0 10 -1 0 2 2 1943
5 1 0 10 0 4 8 4 1943
5 1 0 10 1 4 4 0 1943
5 1 0 10 2 2 2 0 1943
5 1 0 10 4 1 1 0 1943
5 1 0 10 5 1 1 0 1943
5 1 0 10 7 1 1 0 1943
5 1 0 10 8 1 1 0 1943
5 1 0 11 -8 0 1 1 1943
5 1 0 11 -7 0 1 1 1943
5 1 0 11 -5 0 1 1 1943
5 1 0 11 -4 2 4 2 1943
5 1 0 11 -3 2 4 2 1943
5 1 0 11 -2 1 3 2 1943
5 1 0 11 -1 3 4 1 1943
5 1 0 11 0 2 3 1 1943
5 1 0 11 1 0 1 1 1943
5 1 0 11 2 4 4 0 1943
5 1 0 11 3 1 1 0 1943
5 1 0 11 5 2 2 0 1943
5 1 0 11 6 1 1 0 1943
5 1 0 100 -5 0 1 1 1943
5 1 0 100 -1 1 2 1 1943
5 1 0 100 0 0 1 1 1943
5 1 0 100 5 3 3 0 1943
5 1 0 101 -1 0 1 1 1943
5 1 0 101 0 1 2 1 1943
5 1 0 101 1 0 1 1 1943
5 1 0 101 4 1 1 0 1943
5 1 0 101 5 1 1 0 1943
5 1 0 101 6 1 1 0 1943
5 1 0 110 -7 0 1 1 1943
5 1 0 110 -6 0 1 1 1943
5 1 0 110 -3 0 2 2 1943
5 1 0 110 -2 0 1 1 1943
5 1 0 110 -1 1 2 1 1943
5 1 0 110 0 1 2 1 1943
5 1 0 110 1 1 2 1 1943
5 1 0 110 2 1 1 0 1943
5 1 0 111 -7 0 1 1 1943
5 1 0 111 -5 0 1 1 1943
5 1 0 111 -2 1 1 0 1943
5 1 0 111 -1 1 1 0 1943
5 1 0 111 0 0 1 1 1943
5 1 0 111 2 1 1 0 1943
5 1 0 111 3 1 1 0 1943
5 1 0 111 5 1 1 0 1943
5 1 1 0 -11 0 1 1 1943
5 1 1 0 -9 0 1 1 1943
5 1 1 0 -8 0 3 3 1943
5 1 1 0 -7 0 6 6 1943
5 1 1 0 -6 1 8 7 1943
5 1 1 0 -5 0 10 10 1943
5 1 1 0 -4 1 14 13 1943
